#{"t_start": 1776947966.838218, "env_id": "HalfCheetah-v5"}
r,l,t
679.348886,1000,51.183706
589.162234,1000,51.291226
747.273928,1000,51.632753
680.227636,1000,51.742093
578.39252,1000,52.132364
742.164927,1000,52.238484
699.509904,1000,52.578706
631.772079,1000,52.685503
726.4895,1000,53.026598
709.159605,1000,53.134716
683.720304,1000,53.47368
726.939316,1000,53.580218
761.402386,1000,53.916481
573.88968,1000,54.025199
730.32761,1000,54.3662
707.948854,1000,54.478199
667.037337,1000,54.820167
682.518136,1000,54.927722
644.18025,1000,55.264139
698.448426,1000,55.372944
724.080198,1000,55.483076
651.627459,1000,55.819646
595.637947,1000,55.929
633.417847,1000,56.26412
800.380637,1000,56.372007
748.182367,1000,56.708708
716.056102,1000,56.818839
716.725588,1000,57.194883
760.97635,1000,57.304633
768.675551,1000,57.675072
735.541282,1000,57.786842
797.344602,1000,58.123739
793.464257,1000,58.23387
819.633189,1000,58.576098
581.283429,1000,58.685705
694.398326,1000,59.028457
805.712689,1000,59.136526
733.121049,1000,59.468054
761.640629,1000,59.574583
780.330131,1000,59.913983
707.431079,1000,60.021519
765.769015,1000,60.361197
757.804551,1000,60.471371
813.926533,1000,60.807915
702.256956,1000,60.916708
748.45906,1000,61.24704
759.884924,1000,61.354455
753.903601,1000,61.68411
753.676037,1000,61.791626
867.059512,1000,62.121232
733.489797,1000,62.228185
843.024109,1000,62.556625
651.618625,1000,62.66325
789.159267,1000,63.030203
838.785862,1000,63.141968
766.341526,1000,63.476649
625.81078,1000,63.588559
796.521883,1000,63.927402
806.178302,1000,64.034624
791.098302,1000,64.378056
741.816344,1000,64.486117
810.227636,1000,64.816461
729.553711,1000,64.923794
720.448123,1000,65.030351
725.725777,1000,65.371896
822.351559,1000,65.483723
748.428674,1000,65.825673
726.790905,1000,65.935053
880.782594,1000,66.272958
706.710192,1000,66.3814
802.387883,1000,66.715277
857.78162,1000,66.823728
704.822354,1000,67.156062
773.660134,1000,67.263086
783.031267,1000,67.592085
658.114967,1000,67.698592
798.448972,1000,68.027452
855.386046,1000,68.132961
824.964252,1000,68.46116
838.903514,1000,68.566817
796.954645,1000,68.894464
824.983016,1000,69.000338
788.700826,1000,69.328669
802.393653,1000,69.435941
804.148163,1000,69.76319
835.37997,1000,69.868882
839.16236,1000,70.19721
867.328181,1000,70.304069
879.91124,1000,70.647719
828.946198,1000,70.758535
878.10891,1000,71.093893
758.051913,1000,71.202019
878.099193,1000,71.537371
879.727279,1000,71.647439
769.735407,1000,72.012605
887.938419,1000,72.123696
934.017031,1000,72.461509
870.371882,1000,72.569849
861.266475,1000,72.924556
719.769482,1000,73.040501
747.885401,1000,73.399287
795.223516,1000,73.510034
867.674245,1000,73.849541
877.953868,1000,73.958505
791.860084,1000,74.298069
750.341493,1000,74.406559
939.504602,1000,74.514549
837.058963,1000,74.855568
842.074821,1000,74.965963
766.863816,1000,75.312771
867.068395,1000,75.424465
803.560633,1000,75.798778
816.008944,1000,75.909943
829.966812,1000,76.25093
915.912128,1000,76.360745
841.375454,1000,76.698022
960.594014,1000,76.805412
854.694113,1000,77.1374
846.068821,1000,77.244066
820.862399,1000,77.582544
871.888424,1000,77.694142
773.09005,1000,78.031021
944.538742,1000,78.139461
821.6636,1000,78.478291
876.70204,1000,78.584467
905.834186,1000,78.914017
860.023025,1000,79.019807
858.543402,1000,79.348628
797.880094,1000,79.454451
789.527386,1000,79.782073
915.907469,1000,79.888199
871.23346,1000,80.217108
852.404602,1000,80.32415
928.320405,1000,80.652364
875.408177,1000,80.760282
927.462342,1000,81.091467
910.769407,1000,81.201745
904.580973,1000,81.54607
871.532379,1000,81.652565
1008.171137,1000,82.021845
934.916336,1000,82.13104
954.844776,1000,82.479084
903.432608,1000,82.59062
809.968264,1000,82.930371
846.36445,1000,83.042401
883.7403,1000,83.384169
906.518047,1000,83.492854
893.524711,1000,83.838076
871.340739,1000,83.945842
953.640984,1000,84.052657
888.026893,1000,84.393136
820.505258,1000,84.502184
903.01892,1000,84.843339
987.474193,1000,84.954787
881.246539,1000,85.298116
923.466761,1000,85.409628
946.012919,1000,85.744848
914.929355,1000,85.851858
883.419962,1000,86.182353
759.993466,1000,86.289617
964.781143,1000,86.621754
929.107079,1000,86.729618
998.25094,1000,87.059398
942.102428,1000,87.165916
1000.909086,1000,87.494567
904.94753,1000,87.600921
973.771274,1000,87.929003
925.123454,1000,88.034952
976.838798,1000,88.363309
845.061828,1000,88.468925
944.068147,1000,88.798652
922.109339,1000,88.906209
885.001528,1000,89.295987
941.141586,1000,89.410328
900.90127,1000,89.746429
939.821828,1000,89.852252
937.620321,1000,90.182815
915.700558,1000,90.288624
879.21811,1000,90.625443
980.907129,1000,90.736455
990.862085,1000,91.071902
1039.938123,1000,91.17842
914.305685,1000,91.509078
925.65633,1000,91.618569
1018.300738,1000,91.960447
1032.584322,1000,92.069167
1005.208919,1000,92.40672
987.302798,1000,92.524594
930.666638,1000,92.89088
1021.235455,1000,93.006274
1035.508664,1000,93.344964
931.806138,1000,93.452085
1013.313833,1000,93.563056
1036.593362,1000,93.912034
1052.925718,1000,94.021857
991.242098,1000,94.359113
897.894037,1000,94.468269
1099.059957,1000,94.80741
1042.607916,1000,94.91747
1025.882146,1000,95.256432
1008.503599,1000,95.365057
1052.714078,1000,95.701897
1091.147876,1000,95.808872
1047.870329,1000,96.149055
1014.915334,1000,96.256056
1089.011516,1000,96.59601
1043.604011,1000,96.705984
1068.588697,1000,97.045983
540.065324,1000,97.154933
1113.263844,1000,97.495267
1101.085173,1000,97.602171
993.910312,1000,97.940847
895.972795,1000,98.048105
1084.10286,1000,98.390128
764.413133,1000,98.496886
1079.058347,1000,98.835242
1072.577768,1000,98.943521
1052.21517,1000,99.290099
1138.882044,1000,99.400973
1089.725723,1000,99.74099
1080.107768,1000,99.848288
1090.998165,1000,100.197019
1092.496915,1000,100.309087
1061.093549,1000,100.658379
1087.115879,1000,100.770541
1089.215396,1000,101.120474
1118.758825,1000,101.255531
1166.512319,1000,101.607107
1112.069709,1000,101.715629
1057.292241,1000,102.062782
1135.53167,1000,102.17184
1157.768565,1000,102.524964
1199.194726,1000,102.634415
1154.407777,1000,102.975894
1082.106584,1000,103.084282
1075.114537,1000,103.193281
1048.338209,1000,103.536999
1206.173838,1000,103.643983
1143.114612,1000,103.977402
1118.563134,1000,104.083994
1177.531299,1000,104.416886
1155.654062,1000,104.525393
1184.456102,1000,104.859078
1102.997048,1000,104.965833
1085.107274,1000,105.297145
1230.729541,1000,105.404022
969.695693,1000,105.735713
1157.547905,1000,105.841929
1139.74467,1000,106.175719
1003.721642,1000,106.28277
997.114235,1000,106.616258
1055.919376,1000,106.723845
1164.344438,1000,107.056468
1174.794447,1000,107.162751
1160.941195,1000,107.49503
999.689284,1000,107.601112
1102.400389,1000,107.934187
955.908529,1000,108.041939
1201.548259,1000,108.374502
1260.73679,1000,108.481533
1154.258025,1000,108.81274
1221.522529,1000,108.920016
1174.17145,1000,109.253651
1182.564183,1000,109.362271
1156.199041,1000,109.69773
1205.985079,1000,109.806215
1219.899396,1000,110.140698
1172.082154,1000,110.251422
1184.521972,1000,110.586802
1215.418077,1000,110.694797
1190.801525,1000,111.02884
1166.790569,1000,111.135826
1199.326358,1000,111.47006
766.705845,1000,111.576573
1137.311949,1000,111.909288
1155.90136,1000,112.016504
1158.361972,1000,112.123247
1131.536751,1000,112.45763
1084.895506,1000,112.564959
1229.920625,1000,112.899389
1206.995632,1000,113.007503
1192.071471,1000,113.341676
1168.777115,1000,113.44861
1093.959758,1000,113.782259
1162.187837,1000,113.888264
1150.493357,1000,114.223321
1149.424425,1000,114.331713
1158.776547,1000,114.665092
1163.388397,1000,114.77119
1131.629405,1000,115.104109
1163.632656,1000,115.211302
1114.329148,1000,115.612993
1201.217893,1000,115.733414
1241.531242,1000,116.08937
1066.827751,1000,116.20048
1062.378178,1000,116.536878
1108.12391,1000,116.649699
1248.453065,1000,117.00868
1189.879515,1000,117.119
1205.976586,1000,117.456052
1244.68218,1000,117.56321
1300.088812,1000,117.991768
1238.837158,1000,118.107804
1253.656552,1000,118.478505
1162.629972,1000,118.588575
1308.249603,1000,118.949335
1194.092417,1000,119.061862
1153.22565,1000,119.419278
1133.845446,1000,119.529259
1267.982425,1000,119.868783
1198.890143,1000,119.979049
1029.783398,1000,120.316127
1007.377641,1000,120.422935
1272.891377,1000,120.76988
1270.968717,1000,120.893754
1222.898203,1000,121.276065
1175.760686,1000,121.392391
1188.388032,1000,121.733924
1286.547006,1000,121.841504
1210.924747,1000,121.948098
1180.38856,1000,122.284873
1254.754982,1000,122.391521
1259.873956,1000,122.73204
1243.25031,1000,122.838545
1174.471695,1000,123.179945
1169.314561,1000,123.287992
1284.698918,1000,123.624748
1248.342694,1000,123.73221
1236.685976,1000,124.068
1184.928273,1000,124.175085
1303.416383,1000,124.509223
1226.622358,1000,124.616509
1223.519524,1000,124.950194
901.242001,1000,125.05692
1237.000101,1000,125.390234
1170.754683,1000,125.496115
1252.922827,1000,125.829255
1272.476323,1000,125.935862
1206.67039,1000,126.268978
1090.659675,1000,126.375165
1348.721505,1000,126.707661
1308.073271,1000,126.813456
1312.434838,1000,127.148109
1289.631627,1000,127.254078
1277.184486,1000,127.586783
1175.221531,1000,127.69451
1314.57356,1000,128.028656
1047.018107,1000,128.136227
1259.397138,1000,128.469189
1270.505225,1000,128.57571
1136.922081,1000,128.908445
1298.940216,1000,129.014924
1276.130802,1000,129.347759
1231.98935,1000,129.453252
1305.32014,1000,129.78726
1068.108254,1000,129.894711
1169.314085,1000,130.228048
1340.807064,1000,130.334909
1237.542756,1000,130.667352
1174.762195,1000,130.774697
1165.476991,1000,131.119485
1376.422521,1000,131.228415
1227.584207,1000,131.335079
1258.068346,1000,131.671404
1346.379134,1000,131.777151
1305.026615,1000,132.110195
1264.12014,1000,132.21665
1243.874347,1000,132.548207
1294.61257,1000,132.655092
570.137593,1000,132.993644
1351.638715,1000,133.100425
1172.110061,1000,133.436009
1302.099843,1000,133.541814
1235.927025,1000,133.874739
1224.340214,1000,133.981484
1263.646513,1000,134.315291
1267.888608,1000,134.421729
1314.799715,1000,134.755032
1167.437427,1000,134.861535
1185.737124,1000,135.19361
1330.24608,1000,135.300871
1254.72317,1000,135.649839
1288.891718,1000,135.793036
1280.048099,1000,136.157733
1288.274377,1000,136.267609
1288.709862,1000,136.621939
1314.805229,1000,136.734951
1264.163886,1000,137.079558
1358.041458,1000,137.242739
1357.822927,1000,137.718274
1233.151976,1000,137.830163
1292.240074,1000,138.168425
1238.583961,1000,138.27461
1317.681387,1000,138.624627
1266.076876,1000,138.731814
1212.517278,1000,139.086427
1324.038151,1000,139.193275
1276.407324,1000,139.535433
1321.7642,1000,139.642727
1321.617249,1000,139.978571
985.515995,1000,140.086007
1251.79876,1000,140.420072
1373.094937,1000,140.526703
1242.436697,1000,140.859468
1255.81635,1000,140.966578
1370.077749,1000,141.073828
1333.220453,1000,141.407907
1331.526634,1000,141.51428
1119.922203,1000,141.84939
1339.898987,1000,141.962437
1300.080561,1000,142.331882
1283.446175,1000,142.443588
1334.171578,1000,142.789903
1246.670426,1000,142.903439
1324.980802,1000,143.256711
986.596718,1000,143.367648
1271.209503,1000,143.718623
1327.181019,1000,143.847937
1278.70552,1000,144.198878
1331.768139,1000,144.310355
1256.768418,1000,144.66057
1362.170041,1000,144.773163
1344.938921,1000,145.123224
1394.079579,1000,145.232962
1365.683475,1000,145.610197
1310.660543,1000,145.716887
1348.030889,1000,146.057701
1374.656909,1000,146.16532
1404.209957,1000,146.511933
1370.829339,1000,146.617973
1310.57154,1000,146.964516
1436.355711,1000,147.077493
1388.59318,1000,147.457971
1312.679088,1000,147.569275
1370.966789,1000,147.928174
1310.877144,1000,148.040264
1324.410047,1000,148.386585
1357.908807,1000,148.499963
1387.992242,1000,148.866361
1096.227643,1000,148.974422
1324.125913,1000,149.313339
1302.540865,1000,149.420667
1245.346303,1000,149.762492
1354.046377,1000,149.873421
1391.309599,1000,150.222077
1160.777015,1000,150.33085
1282.982854,1000,150.676538
1355.478897,1000,150.78789
1413.973071,1000,150.897455
1333.553105,1000,151.263425
1408.735298,1000,151.373524
1367.81383,1000,151.711415
1283.199259,1000,151.817831
1325.604529,1000,152.156761
1394.019882,1000,152.26397
1380.325404,1000,152.61091
1340.500089,1000,152.721781
1383.536078,1000,153.071693
1300.286663,1000,153.178353
1326.818239,1000,153.519509
1333.373326,1000,153.626155
1388.093132,1000,153.991879
1018.996168,1000,154.10218
1386.833448,1000,154.449149
1426.384335,1000,154.561573
1294.757442,1000,154.912746
1452.923269,1000,155.021251
1275.48474,1000,155.370146
1440.890766,1000,155.480954
1351.81349,1000,155.8506
1285.427619,1000,155.960136
1454.204582,1000,156.309486
1374.299058,1000,156.416871
871.643752,1000,156.755946
1299.012131,1000,156.867142
1448.218982,1000,157.242828
1364.949914,1000,157.378751
1336.198371,1000,157.734388
1392.768897,1000,157.843427
1432.39253,1000,158.192965
1382.939516,1000,158.300154
1345.729299,1000,158.648528
1400.580575,1000,158.759602
1335.116123,1000,159.11483
1249.154989,1000,159.226123
1346.533419,1000,159.576533
1409.885493,1000,159.685412
1324.569764,1000,160.055084
1263.331767,1000,160.165357
1399.538261,1000,160.513307
1376.373307,1000,160.621788
1439.061322,1000,160.733102
1399.946529,1000,161.077612
1353.200934,1000,161.18516
1459.256686,1000,161.522489
1187.802117,1000,161.632556
1289.516161,1000,161.977435
1417.74457,1000,162.105925
1334.626181,1000,162.450917
1472.430766,1000,162.563213
1342.121581,1000,162.907201
1443.099138,1000,163.028559
1449.106058,1000,163.427979
1409.197676,1000,163.537805
1304.812082,1000,163.875262
1386.030533,1000,163.98138
1421.448223,1000,164.374481
1381.027231,1000,164.489521
1319.413724,1000,164.839727
1303.892765,1000,164.946074
1407.177897,1000,165.29131
1414.631447,1000,165.402317
1351.044846,1000,165.746811
1353.938676,1000,165.85392
1393.850558,1000,166.196382
1407.109813,1000,166.334373
1111.596999,1000,166.680167
1235.395664,1000,166.790103
1463.85697,1000,167.132056
1405.869684,1000,167.24273
1445.654234,1000,167.583936
1347.894323,1000,167.693729
1390.056945,1000,168.037948
1453.097891,1000,168.14499
1375.489999,1000,168.486177
1361.087719,1000,168.592828
958.539143,1000,168.931242
1394.04819,1000,169.037732
1332.036365,1000,169.403811
1474.312929,1000,169.515513
1147.478408,1000,169.859178
1368.194548,1000,169.970701
1377.718753,1000,170.077325
1419.697879,1000,170.424702
1448.092351,1000,170.531823
1420.277976,1000,170.878132
1408.293917,1000,170.985763
1426.554322,1000,171.325118
1339.634377,1000,171.457989
1345.690125,1000,171.804306
1373.044004,1000,171.910098
1180.546132,1000,172.250776
1429.788186,1000,172.357233
1326.201419,1000,172.694308
1490.997636,1000,172.801195
1424.363692,1000,173.146894
1416.866885,1000,173.25495
844.616303,1000,173.610566
1447.305581,1000,173.742268
1389.878891,1000,174.092399
1468.582879,1000,174.20124
1443.873947,1000,174.546568
1431.140746,1000,174.658758
1426.252116,1000,175.008579
1392.461363,1000,175.1199
1288.915207,1000,175.484361
1449.862882,1000,175.594442
1495.10071,1000,175.940047
1330.908137,1000,176.04981
1397.742502,1000,176.398363
1449.784448,1000,176.506288
1390.515902,1000,176.846279
1465.700372,1000,176.953129
1318.858708,1000,177.290138
1341.212349,1000,177.397699
1399.980694,1000,177.734464
1424.563597,1000,177.841292
1411.497149,1000,178.243762
1375.627063,1000,178.354592
1455.984565,1000,178.705844
1415.307127,1000,178.820137
1448.720299,1000,179.166855
1421.57775,1000,179.274384
1377.492497,1000,179.717921
1342.804766,1000,179.846284
1354.965637,1000,179.962773
1448.550739,1000,180.309487
1415.983661,1000,180.416513
1429.819375,1000,180.752194
1396.42545,1000,180.859128
1366.814788,1000,181.19409
1414.908208,1000,181.30007
1384.15999,1000,181.636285
1229.804758,1000,181.74284
1347.824105,1000,182.087789
1441.847492,1000,182.194874
1418.236541,1000,182.531025
1469.016202,1000,182.63804
1453.779676,1000,182.976819
1498.204703,1000,183.085749
1365.662554,1000,183.444613
1099.881126,1000,183.559212
1475.085332,1000,183.976315
1375.79775,1000,184.10015
1502.745172,1000,184.490684
1344.443304,1000,184.598894
1485.04324,1000,184.944871
1478.351838,1000,185.057349
1468.902735,1000,185.457164
1398.644895,1000,185.575385
1444.702467,1000,185.986479
