#{"t_start": 1776950359.511148, "env_id": "HalfCheetah-v5"}
r,l,t
332.466613,1000,50.736917
582.934244,1000,51.067223
652.284053,1000,51.174003
673.084228,1000,51.5043
514.020547,1000,51.612541
740.627085,1000,51.972983
809.761995,1000,52.084019
903.329374,1000,52.431975
649.069725,1000,52.541757
524.875851,1000,52.882316
526.35209,1000,52.990011
759.552032,1000,53.323557
654.885711,1000,53.43027
557.628278,1000,53.762678
-354.008707,1000,53.870915
409.305952,1000,54.203033
758.778297,1000,54.310549
799.084677,1000,54.642687
725.828557,1000,54.750498
412.781166,1000,55.082392
673.881828,1000,55.189768
467.73314,1000,55.52136
924.006539,1000,55.628908
517.073125,1000,55.960417
416.249681,1000,56.067961
599.212647,1000,56.175619
586.885032,1000,56.50907
916.059808,1000,56.617805
394.24463,1000,56.950353
764.971674,1000,57.058725
547.498744,1000,57.391644
944.624037,1000,57.499823
743.615561,1000,57.832778
679.489051,1000,57.940453
652.829016,1000,58.2732
590.57562,1000,58.380888
781.316641,1000,58.714009
663.439567,1000,58.820994
670.683169,1000,59.153198
898.691186,1000,59.260171
828.471708,1000,59.59208
849.494421,1000,59.699947
646.715072,1000,60.032601
789.088882,1000,60.140432
1011.033633,1000,60.477639
626.736997,1000,60.584769
795.095055,1000,60.918397
925.031662,1000,61.027193
786.363448,1000,61.360526
746.437971,1000,61.469333
758.209155,1000,61.803082
833.214669,1000,61.910023
727.619032,1000,62.242771
632.58161,1000,62.350205
1080.165917,1000,62.706194
897.86905,1000,62.813486
1103.018306,1000,63.145411
532.913884,1000,63.252384
918.80555,1000,63.584185
1007.93034,1000,63.691154
991.25509,1000,64.022339
933.930489,1000,64.130019
836.439436,1000,64.461281
927.214231,1000,64.568849
819.379683,1000,64.900669
998.40782,1000,65.008306
999.404117,1000,65.339717
932.576305,1000,65.446864
1139.6642,1000,65.553493
843.742665,1000,65.886072
821.646108,1000,65.993256
932.785948,1000,66.326064
890.868876,1000,66.433333
619.89735,1000,66.765015
936.030868,1000,66.871937
854.170877,1000,67.203402
1057.853859,1000,67.311044
1111.719789,1000,67.645048
713.872122,1000,67.75244
918.236921,1000,68.085118
718.161252,1000,68.192969
833.510708,1000,68.52501
1045.130276,1000,68.632145
1003.599199,1000,68.96414
1232.443918,1000,69.071164
1007.697188,1000,69.403874
947.876341,1000,69.5119
1098.602205,1000,69.844701
1021.526825,1000,69.950849
963.735162,1000,70.28464
925.669904,1000,70.391765
1096.337756,1000,70.724595
1126.764057,1000,70.831217
603.570555,1000,71.162616
966.977064,1000,71.269614
995.519498,1000,71.601718
1076.996463,1000,71.709237
804.50491,1000,72.041024
933.261456,1000,72.148836
963.431119,1000,72.480802
949.055529,1000,72.587138
936.91871,1000,72.918691
975.262203,1000,73.026183
800.508157,1000,73.358596
1030.220815,1000,73.465233
934.833853,1000,73.797884
670.217168,1000,73.905827
1111.142052,1000,74.23797
1258.560967,1000,74.345837
1076.808022,1000,74.67767
1098.777864,1000,74.785155
905.334876,1000,74.892163
870.782726,1000,75.230951
1030.737953,1000,75.338086
1133.181794,1000,75.670555
1094.121302,1000,75.777024
1052.512261,1000,76.110192
1192.428982,1000,76.216996
1133.668082,1000,76.54965
1056.024622,1000,76.656791
1104.680563,1000,76.989323
1121.265733,1000,77.096815
1118.370091,1000,77.42755
1273.039328,1000,77.534667
828.503442,1000,77.865288
1130.838436,1000,77.972252
1087.623318,1000,78.303779
