#{"t_start": 1776952293.2457862, "env_id": "HalfCheetah-v5"}
r,l,t
129.348029,1000,20.028405
1395.509402,1000,20.357698
529.575625,1000,20.463178
1154.304378,1000,20.79171
396.203705,1000,20.896712
1075.242332,1000,21.226939
447.634337,1000,21.33347
1064.603014,1000,21.663053
191.887561,1000,21.770889
504.27184,1000,22.101485
1338.90868,1000,22.208048
341.320222,1000,22.538093
173.996098,1000,22.64379
193.79969,1000,22.973572
246.72777,1000,23.079722
1521.223261,1000,23.409258
1039.902865,1000,23.516185
273.66653,1000,23.846226
582.807945,1000,23.952371
1515.332919,1000,24.282597
381.872853,1000,24.389422
361.582059,1000,24.719975
650.034943,1000,24.826718
453.625129,1000,25.156882
651.479098,1000,25.263572
1760.775765,1000,25.592316
500.321489,1000,25.698651
859.639591,1000,26.029662
667.993765,1000,26.135302
773.2804,1000,26.465155
973.499067,1000,26.572498
738.075366,1000,26.901647
621.360054,1000,27.007634
821.877947,1000,27.337652
402.547568,1000,27.444768
1009.595877,1000,27.551387
371.710376,1000,27.882203
887.058512,1000,27.988648
822.454966,1000,28.318601
422.253823,1000,28.424381
620.460811,1000,28.754035
607.731477,1000,28.859521
586.272524,1000,29.188828
1228.995821,1000,29.294293
575.103043,1000,29.624079
626.465958,1000,29.731358
1020.80546,1000,30.061318
670.966322,1000,30.167803
818.863931,1000,30.497278
1345.806712,1000,30.601955
1159.721337,1000,30.932252
1077.870544,1000,31.040052
580.412499,1000,31.373073
847.328128,1000,31.479474
526.842203,1000,31.81955
1126.440853,1000,31.92597
718.500887,1000,32.258716
832.333868,1000,32.364924
924.203669,1000,32.694698
1147.98419,1000,32.800299
1592.788398,1000,33.12942
566.244122,1000,33.235708
1413.916724,1000,33.564134
756.744448,1000,33.669525
1016.406153,1000,34.000257
664.459643,1000,34.106794
818.703074,1000,34.440052
675.803979,1000,34.545964
1964.932602,1000,34.874973
578.071818,1000,34.982875
683.275948,1000,35.312448
1142.050678,1000,35.418368
841.59767,1000,35.74758
1027.367438,1000,35.852652
2270.353993,1000,36.183798
662.817993,1000,36.290721
1764.197734,1000,36.623622
939.536786,1000,36.729661
815.486967,1000,36.835448
881.944727,1000,37.163972
850.432474,1000,37.269676
814.827026,1000,37.59889
2320.36202,1000,37.703447
1138.329404,1000,38.033099
2110.085077,1000,38.138533
1294.675299,1000,38.466856
1018.825354,1000,38.572274
1896.676208,1000,38.901633
1460.144926,1000,39.009422
1188.153007,1000,39.340128
1052.619936,1000,39.445428
1209.611405,1000,39.774747
848.492946,1000,39.880453
845.903045,1000,40.210072
1663.664639,1000,40.315659
776.862263,1000,40.644673
965.300846,1000,40.75054
1970.82983,1000,41.080055
1737.547817,1000,41.185444
1410.644861,1000,41.514477
818.973191,1000,41.620186
892.21373,1000,41.949512
1122.003266,1000,42.055524
990.849316,1000,42.384477
1039.122632,1000,42.490019
1210.30295,1000,42.81935
1123.794741,1000,42.925671
2725.60501,1000,43.255421
2009.546556,1000,43.360585
860.828417,1000,43.689868
858.989243,1000,43.796754
1095.352135,1000,44.125742
1463.67489,1000,44.231661
815.978061,1000,44.561325
1197.718759,1000,44.667728
1371.568905,1000,44.997503
951.007745,1000,45.103074
1214.909793,1000,45.431797
1421.189042,1000,45.538246
1295.825442,1000,45.868545
2453.199895,1000,45.974399
1592.929252,1000,46.079563
1811.662865,1000,46.40942
1627.392145,1000,46.51456
1997.155588,1000,46.849117
1538.747615,1000,46.954466
1581.421074,1000,47.285036
2222.972366,1000,47.390712
1592.671296,1000,47.720271
1852.339484,1000,47.826044
1097.552665,1000,48.155706
2407.948115,1000,48.260683
1050.800289,1000,48.591452
1336.801039,1000,48.697023
1322.814998,1000,49.027146
2292.571853,1000,49.132594
1302.681831,1000,49.463145
1839.563402,1000,49.569442
1146.658399,1000,49.899373
988.934522,1000,50.005821
2369.326844,1000,50.336433
1931.275991,1000,50.441881
1585.193974,1000,50.771523
2604.888226,1000,50.876963
1120.836579,1000,51.20724
1446.192775,1000,51.312665
2783.210874,1000,51.642062
1150.529615,1000,51.748303
1644.277825,1000,52.078433
1178.059819,1000,52.184495
964.049146,1000,52.515154
1231.738257,1000,52.621854
2915.199265,1000,52.951362
2380.395099,1000,53.056493
1944.346353,1000,53.385467
1952.732762,1000,53.492384
1084.856925,1000,53.823374
2778.807446,1000,53.928673
2822.959338,1000,54.258932
2228.384278,1000,54.365219
2826.483863,1000,54.695955
1392.846247,1000,54.802834
1799.916845,1000,54.908404
1204.528908,1000,55.243464
845.446871,1000,55.349321
2109.077289,1000,55.681274
1012.142692,1000,55.788805
1553.841301,1000,56.122239
1850.007382,1000,56.229095
2677.420921,1000,56.561926
2775.071905,1000,56.668116
2783.761951,1000,56.999555
2739.448214,1000,57.104378
1243.555794,1000,57.435098
1653.404986,1000,57.541287
1570.133376,1000,57.871974
2363.563859,1000,57.977354
1200.941153,1000,58.308698
2739.760735,1000,58.414545
2851.9142,1000,58.745768
2883.56298,1000,58.850458
1045.75324,1000,59.19263
2110.449174,1000,59.298292
1694.684182,1000,59.628431
2871.842297,1000,59.733075
2793.713988,1000,60.063796
2928.021524,1000,60.169609
1593.647425,1000,60.499695
2647.113491,1000,60.605236
2537.163476,1000,60.934829
2938.39569,1000,61.040381
2860.134807,1000,61.37032
1597.033133,1000,61.475556
2150.975904,1000,61.806085
2687.799938,1000,61.911376
3016.267743,1000,62.240941
1858.078635,1000,62.347249
1994.957862,1000,62.678724
2776.136308,1000,62.784599
1026.659665,1000,63.116138
1958.531069,1000,63.222086
2120.314391,1000,63.553014
2235.033301,1000,63.658729
2637.668526,1000,63.988155
1495.007007,1000,64.094312
2616.02159,1000,64.199745
2942.194633,1000,64.53033
1312.191152,1000,64.635785
1104.512447,1000,64.968378
1686.106992,1000,65.074539
1843.128051,1000,65.405946
2543.602646,1000,65.511746
2799.838482,1000,65.842708
3035.565407,1000,65.948187
1036.202658,1000,66.280081
1405.286298,1000,66.385935
1050.896498,1000,66.724201
1107.642402,1000,66.831399
2692.345951,1000,67.163472
1501.83295,1000,67.268901
2495.159604,1000,67.601042
1021.326988,1000,67.70737
2752.383619,1000,68.038512
2882.055709,1000,68.143779
1770.231298,1000,68.475546
3228.582091,1000,68.581097
1831.605496,1000,68.912245
2255.71884,1000,69.018003
3176.815545,1000,69.349281
3063.07299,1000,69.454396
1917.185849,1000,69.785397
3090.618084,1000,69.890863
2772.704787,1000,70.222303
2372.203078,1000,70.327658
1308.569549,1000,70.65875
3018.223772,1000,70.764512
1597.020484,1000,71.096261
2954.728228,1000,71.202472
3320.794494,1000,71.532579
3003.998647,1000,71.638759
3135.849767,1000,71.969146
3102.685626,1000,72.07479
2661.31151,1000,72.405702
3092.33679,1000,72.511479
1912.225387,1000,72.843429
1230.732426,1000,72.950192
1107.475294,1000,73.28181
1165.624634,1000,73.387618
1229.595466,1000,73.493911
1077.277323,1000,73.825979
1501.276342,1000,73.932174
3003.717851,1000,74.263782
1337.737276,1000,74.370094
1501.942548,1000,74.701276
1269.399854,1000,74.807166
1806.468262,1000,75.138847
3030.202633,1000,75.244477
1695.534737,1000,75.576518
1991.856708,1000,75.682453
3021.557884,1000,76.013458
2038.13716,1000,76.120181
2297.56318,1000,76.450413
1557.284642,1000,76.556829
1997.01802,1000,76.890055
2775.111292,1000,76.995265
1963.586342,1000,77.326533
1500.347024,1000,77.433184
1685.358348,1000,77.765035
3152.140836,1000,77.87083
1733.152754,1000,78.202492
1493.233618,1000,78.308795
2462.644296,1000,78.640911
2271.764424,1000,78.747119
3283.218581,1000,79.082409
3321.796032,1000,79.187599
2955.558305,1000,79.518023
3063.833116,1000,79.623064
2204.512761,1000,79.954339
2895.965735,1000,80.0604
1363.812366,1000,80.392897
1273.129989,1000,80.499198
3203.801258,1000,80.828952
3146.171974,1000,80.934919
2334.510004,1000,81.26566
3459.749963,1000,81.371519
3227.365087,1000,81.701746
2417.012526,1000,81.807423
1997.708617,1000,82.13803
1881.42624,1000,82.244875
3192.724658,1000,82.574884
3013.626812,1000,82.681135
1372.581514,1000,82.788733
2256.661751,1000,83.121247
2766.013724,1000,83.226752
3115.141207,1000,83.557925
3357.233726,1000,83.66624
3248.294171,1000,83.997327
3094.514364,1000,84.102471
1316.010219,1000,84.434202
