x,y,z
-0.6026225090026855,1.5118365287780762,0.1578072756528854
-0.6026030571271982,1.5117647801391527,0.15782569286281958
-0.6016377231926199,1.5104666046389645,0.15971422848962114
-0.5996560928625613,1.5076788007157007,0.1636875141020158
-0.5976744625325027,1.5048909967924367,0.16766079971441045
-0.5956928322024441,1.5021031928691728,0.1716340853268051
-0.5937112018723856,1.4993153889459088,0.17560737093919976
-0.591729571542327,1.496527585022645,0.17958065655159441
-0.5897479412122684,1.4937397810993809,0.18355394216398904
-0.5877663108822098,1.490951977176117,0.1875272277763837
-0.5857846805521512,1.488164173252853,0.19150051338877835
-0.5838030502220926,1.4853763693295892,0.195473799001173
-0.581821419892034,1.482588565406325,0.19944708461356767
-0.5798397895619753,1.4798007614830613,0.2034203702259623
-0.5778581592319167,1.4770129575597974,0.20739365583835695
-0.5758765289018583,1.4742251536365334,0.2113669414507516
-0.5738948985717996,1.4714373497132696,0.21534022706314626
-0.571913268241741,1.4686495457900055,0.21931351267554092
-0.5699316379116824,1.4658617418667417,0.22328679828793557
-0.5679500075816238,1.4630739379434776,0.22726008390033023
-0.5659683772515652,1.4602861340202138,0.23123336951272486
-0.5639867469215066,1.4574983300969497,0.2352066551251195
-0.562005116591448,1.454710526173686,0.23917994073751417
-0.5600234862613894,1.4519227222504218,0.24315322634990882
-0.5580418559313309,1.449134918327158,0.24712651196230348
-0.5560602256012723,1.446347114403894,0.25109979757469814
-0.5540785952712137,1.4435593104806301,0.25507308318709276
-0.5520969649411551,1.440771506557366,0.25904636879948745
-0.5501153346110965,1.4379837026341022,0.2630196544118821
-0.5481337042810379,1.4351958987108382,0.2669929400242767
-0.5461520739509793,1.4324080947875744,0.2709662256366714
-0.5441704436209207,1.4296202908643103,0.274939511249066
-0.5421888132908621,1.4268324869410465,0.2789127968614607
-0.5402071829608036,1.4240446830177824,0.2828860824738553
-0.538225552630745,1.4212568790945186,0.28685936808624996
-0.5362439223006864,1.4184690751712545,0.29083265369864464
-0.5342622919706278,1.4156812712479907,0.29480593931103927
-0.5322806616405692,1.4128934673247266,0.2987792249234339
-0.5302990313105106,1.4101056634014628,0.3027525105358286
-0.528317400980452,1.4073178594781988,0.3067257961482232
-0.5263357706503934,1.404530055554935,0.3106990817606179
-0.5243541403203349,1.4017422516316709,0.3146723673730125
-0.5223725099902763,1.398954447708407,0.31864565298540715
-0.5203908796602177,1.396166643785143,0.32261893859780183
-0.5184092493301591,1.3933788398618792,0.32659222421019646
-0.5164276190001005,1.390591035938615,0.33056550982259114
-0.5144459886700419,1.3878032320153513,0.33453879543498577
-0.5124643583399833,1.3850154280920872,0.33851208104738045
-0.5104827280099247,1.3822276241688234,0.3424853666597751
-0.5085010976798662,1.3794398202455596,0.3464586522721697
-0.5065194673498076,1.3766520163222955,0.3504319378845644
-0.504537837019749,1.3738642123990314,0.354405223496959
-0.5025562066896904,1.3710764084757676,0.3583785091093537
-0.5005745763596318,1.3682886045525038,0.36235179472174833
-0.49859294602957316,1.3655008006292397,0.366325080334143
-0.49661131569951455,1.362712996705976,0.37029836594653764
-0.494629685369456,1.3599251927827118,0.3742716515589323
-0.4926480550393974,1.357137388859448,0.37824493717132696
-0.4906664247093388,1.354349584936184,0.3822182227837216
-0.4886847943792802,1.3515617810129201,0.38619150839611627
-0.48670316404922165,1.348773977089656,0.3901647940085109
-0.48472153371916304,1.3459861731663922,0.3941380796209055
-0.48273990338910444,1.3431983692431282,0.3981113652333002
-0.48075827305904584,1.3404105653198644,0.40208465084569484
-0.47877664272898723,1.3376227613966003,0.4060579364580895
-0.47679501239892863,1.3348349574733365,0.41003122207048415
-0.4748133820688701,1.3320471535500724,0.4140045076828788
-0.4728317517388115,1.3292593496268086,0.41797779329527346
-0.47085012140875293,1.3264715457035445,0.4219510789076681
